@0	0101000010010010
@1	0110011111100010
@2	1010000010000010
@3	0110100111010011
@4	0010000111100010
@5	1001100011111000
@6	1100011101001100
@7	0000110000000000
@8	0111010100011111
@9	0111011100000011
@A	1010100001011001
@B	0111100001111001
@C	0111010100001001
@D	1111110001000010
@E	0100110011011111
@F	1010010001010011
@10	1110101111111001
@11	0110101001101110
@12	0100101011001110
@13	0111010110100001
@14	0010011111011111
@15	1000100100100100
@16	0101100101100001
@17	0110111100011010
@18	0010110111000010
@19	0100000111111011
@1A	0011111000111110
@1B	1110010001101001
@1C	0010011111001101
@1D	1010101111010011
@1E	0011010010111111
@1F	1000100000100110
@20	1100011011100100
@21	1000101111010010
@22	1001100011011110
@23	0101001011001110
@24	0011000111100000
@25	1101000100101101
@26	0111001101000010
@27	1000100011010001
@28	1111000001010010
@29	1110000110101110
@2A	0100001111111001
@2B	0100101110010010
@2C	1010111111010111
@2D	1111110101100001
@2E	1111001000010010
@2F	0010010101110101
@30	0011010110011001
@31	0100000100110011
@32	1100011010101010
@33	0010111000000001
@34	0010011110110101
@35	1010100110100001
@36	1001111001110111
@37	1111111110010101
@38	0111010110110010
@39	1101011100100100
@3A	0001010111010100
@3B	1011100101001100
@3C	0100000001010011
@3D	1100000101001110
@3E	0000000110000110
@3F	0011001011110111
@40	0110010000010010
@41	0111010110010100
@42	0000110000010110
@43	1010001101111101
@44	1010011000111000
@45	1100000111101100
@46	0101011100111001
@47	1100000100011001
@48	0101000001110101
@49	1011111001011000
@4A	0110110111100100
@4B	1101100110011001
@4C	1011001001010100
@4D	1100000001000111
@4E	0001110110110101
@4F	1111100100101001
@50	1101101000000110
@51	0101010010110001
@52	0001010111010100
@53	0000110010111011
@54	0110101011001101
@55	1100100100101101
@56	0100000111011000
@57	0100000011110100
@58	1110000101100101
@59	0001000101011101
@5A	1001001101101011
@5B	1000110111010000
@5C	0000011111100010
@5D	0100011101111000
@5E	0110111100011011
@5F	1010000101000010
@60	0001000110011110
@61	1111100000101010
@62	1000001100001100
@63	1101011001001110
@64	1010100110000101
@65	0100101101010110
@66	1100111110101100
@67	0000011101001110
@68	1010101001101000
@69	0001101000011011
@6A	1100001101010010
@6B	0010011101110010
@6C	0011000001110000
@6D	0011111110000111
@6E	1111001101010111
@6F	1001010101110101
@70	1011101010011110
@71	0110100111010000
@72	1010011100000010
@73	0101001101101001
@74	0000100111010001
@75	0111111100000011
@76	1001010000000011
@77	1111000101010011
@78	1001101101001110
@79	0111011000111111
@7A	1000000100110000
@7B	0100011001100001
@7C	0101000100111011
@7D	0101111001100011
@7E	1001010110011110
@7F	1110011001011000
@80	1100001010000111
@81	0100110011010001
@82	1110111001110001
@83	0110100100100000
@84	1010111010001110
@85	1100001110001001
@86	1010010101000010
@87	1010001011010101
@88	0101111010001010
@89	0001010001101000
@8A	0000110011000100
@8B	1010010100011100
@8C	0101101001100000
@8D	0001111100111111
@8E	1101100111011000
@8F	0000001101100100
@90	1110011011011101
@91	1001001101110011
@92	1011110101101011
@93	1001111110010010
@94	1010111100010101
@95	1011110101101110
@96	1110101011010010
@97	1000110010110110
@98	0110011100011000
@99	0111000111011110
@9A	1111110110101001
@9B	1111110101000000
@9C	1101011001110101
@9D	0110011001101010
@9E	1101111010000111
@9F	1001110001111000
@A0	0100011110111111
@A1	1110001111000110
@A2	1011110111011111
@A3	1110011101100111
@A4	1001100010110001
@A5	1010000111001001
@A6	0111000100101010
@A7	0111010011000101
@A8	0001001101000001
@A9	1000111101001110
@AA	1011110000011011
@AB	1101101001101001
@AC	0101001000111010
@AD	1000001111110001
@AE	1000101100000100
@AF	1010101101000011
@B0	0010011000101100
@B1	0011101101010010
@B2	0010010111010011
@B3	1111001101110000
@B4	0000110000001001
@B5	1100101111011100
@B6	0011111010100100
@B7	1011000001011111
@B8	0010111111010001
@B9	1010111011111011
@BA	1101111001010101
@BB	0010000000101001
@BC	0100011110111101
@BD	1001010011000101
@BE	0110110111101100
@BF	0100011010010101
@C0	1111110010011110
@C1	1110111110010100
@C2	1111001001100000
@C3	1100111001101101
@C4	0000001000101110
@C5	0000001011000010
@C6	0101000101010000
@C7	0100101101111010
@C8	0010010011110010
@C9	1110000011101101
@CA	0100111111000100
@CB	0000100001100111
@CC	1101100111001001
@CD	0111000001100010
@CE	0110000000111110
@CF	0000110011010111
@D0	0001111101011011
@D1	0001011001001001
@D2	1011010100101111
@D3	1100110100011110
@D4	1111100010001110
@D5	1011101100000001
@D6	0101100000100101
@D7	1011000111011100
@D8	1011100111010110
@D9	1010101110110100
@DA	1011101001001000
@DB	1110111110001010
@DC	1100111110100100
@DD	0110110001100011
@DE	1110111000100010
@DF	1010111101010000
@E0	0110011110100110
@E1	0111101011010001
@E2	1111000001011010
@E3	1001110001110010
@E4	1100001000010001
@E5	1110100010100010
@E6	0001100001001011
@E7	1100001100100000
@E8	0001101001010100
@E9	0011011000010010
@EA	1011100011000100
@EB	1001111000001111
@EC	1100101111110011
@ED	1101000110011011
@EE	1110110010010110
@EF	0000001000000011
@F0	1001010111100100
@F1	1100001100110010
@F2	0100110100001111
@F3	1000011101111011
@F4	0110110111001001
@F5	0011101011110111
@F6	1111110100010101
@F7	0001010000011010
@F8	1011110010111111
@F9	1111010101110111
@FA	0111011010001101
@FB	0000101111111011
@FC	0000010101101001
@FD	1011101101001010
@FE	1111110100101000
@FF	0001111111000010
